Date;GME;KO;TSLA
16-08-2019;0,83;46,582249;14,662667
19-08-2019;0,845;46,82196;15,122
20-08-2019;0,855;46,128502;15,057333
21-08-2019;0,885;46,316845;14,722
22-08-2019;0,9675;46,650734;14,81
23-08-2019;0,9125;46,008644;14,093333
26-08-2019;0,955;46,693539;14,333333
27-08-2019;0,925;46,847649;14,272
28-08-2019;0,97;47,181534;14,372667
29-08-2019;1,0575;47,130169;14,780667
30-08-2019;0,9925;47,121609;15,040667
03-09-2019;0,9525;47,344204;15,000667
04-09-2019;0,995;47,74659;14,712
05-09-2019;1,0575;47,190102;15,305333
06-09-2019;1,0775;47,284275;15,163333
09-09-2019;1,19;46,676422;15,452667
10-09-2019;1,2725;46,573677;15,702667
11-09-2019;1,1475;46,89045;16,473333
12-09-2019;1,145;47,181534;16,391333
13-09-2019;1,1025;46,793465;16,346666
16-09-2019;1,0875;46,534744;16,187332
17-09-2019;1,0825;46,776218;16,319332
18-09-2019;1,15;46,767593;16,232668
19-09-2019;1,11;47,017685;16,440001
20-09-2019;1,175;46,491623;16,041332
23-09-2019;1,255;46,689983;16,082001
24-09-2019;1,2525;46,827961;14,880667
25-09-2019;1,3;46,715851;15,246667
26-09-2019;1,32;46,905575;16,170668
27-09-2019;1,335;46,836578;16,142
30-09-2019;1,38;46,948696;16,058001
01-10-2019;1,395;47,129795;16,312668
02-10-2019;1,33;45,775841;16,208668
03-10-2019;1,355;46,431252;15,535333
04-10-2019;1,3875;47,034931;15,428667
07-10-2019;1,3725;46,457123;15,848
08-10-2019;1,3075;46,207039;16,003332
09-10-2019;1,2475;46,422626;16,302
10-10-2019;1,2625;46,27602;16,316
11-10-2019;1,3425;45,965569;16,525999
14-10-2019;1,395;45,965569;17,130667
15-10-2019;1,4025;46,146671;17,192667
16-10-2019;1,47;46,129414;17,316668
17-10-2019;1,5075;46,388142;17,464666
18-10-2019;1,485;47,241913;17,129999
21-10-2019;1,4825;46,767593;16,9
22-10-2019;1,5975;46,43988;17,038668
23-10-2019;1,6075;47,121178;16,978666
24-10-2019;1,605;47,095303;19,978666
25-10-2019;1,5875;46,353642;21,875334
28-10-2019;1,5475;46,19841;21,847334
29-10-2019;1,4525;46,060421;21,081333
30-10-2019;1,4325;46,517498;21,000668
31-10-2019;1,36;46,940071;20,994667
01-11-2019;1,46;46,483002;20,887333
04-11-2019;1,4625;45,827579;21,164667
05-11-2019;1,4775;45,206657;21,148001
06-11-2019;1,5225;45,534374;21,771999
07-11-2019;1,555;45,094547;22,369333
08-11-2019;1,5225;45,025558;22,476
11-11-2019;1,505;44,706474;23,006001
12-11-2019;1,48;44,594357;23,328667
13-11-2019;1,485;45,198036;23,073999
14-11-2019;1,495;45,38776;23,290001
15-11-2019;1,47;45,422264;23,478001
18-11-2019;1,405;45,732727;23,332666
19-11-2019;1,375;45,775841;23,968
20-11-2019;1,365;45,896576;23,481333
21-11-2019;1,375;45,672356;23,655333
22-11-2019;1,415;45,732727;22,202667
25-11-2019;1,5075;45,896576;22,422667
26-11-2019;1,525;46,483002;21,927999
27-11-2019;1,5875;46,526123;22,086
29-11-2019;1,585;46,395798;21,996
02-12-2019;1,5425;46,699886;22,324667
03-12-2019;1,53;46,743324;22,413334
04-12-2019;1,6075;47,169064;22,202
05-12-2019;1,6;47,082176;22,024668
06-12-2019;1,67;47,282005;22,392668
09-12-2019;1,5825;46,977917;22,635332
10-12-2019;1,6275;46,71727;23,256001
11-12-2019;1,3825;46,87365;23,513332
12-12-2019;1,395;47,038738;23,978666
13-12-2019;1,3625;47,282005;23,892668
16-12-2019;1,375;47,282005;25,433332
17-12-2019;1,515;47,282005;25,266001
18-12-2019;1,54;46,838905;26,209999
19-12-2019;1,515;47,195118;26,936001
20-12-2019;1,4975;47,759872;27,039333
23-12-2019;1,4025;47,707741;27,948
24-12-2019;1,36;47,53397;28,35
26-12-2019;1,35;47,803314;28,729334
27-12-2019;1,475;48,090027;28,691999
30-12-2019;1,5325;48,020515;27,646667
31-12-2019;1,52;48,090027;27,888666
02-01-2020;1,5775;47,777248;28,684
03-01-2020;1,47;47,51659;29,534
06-01-2020;1,4625;47,499214;30,102667
07-01-2020;1,38;47,1343;31,270666
08-01-2020;1,43;47,221188;32,809334
09-01-2020;1,3875;48,081326;32,089333
10-01-2020;1,3575;48,246414;31,876667
13-01-2020;1,3575;48,767708;34,990665
14-01-2020;1,1775;48,654774;35,861332
15-01-2020;1,1525;49,262951;34,566666
16-01-2020;1,155;49,36721;34,232666
17-01-2020;1,1875;49,471474;34,033333
21-01-2020;1,1475;49,671314;36,48
22-01-2020;1,14;50,053596;37,970669
23-01-2020;1,155;50,244736;38,146667
24-01-2020;1,08;50,114407;37,654667
27-01-2020;1,07;49,940639;37,201332
28-01-2020;1,0525;49,532295;37,793331
29-01-2020;1,0325;49,532295;38,732666
30-01-2020;0,9825;51,139645;42,720669
31-01-2020;0,96;50,739975;43,371334
03-02-2020;0,9875;50,89637;52
04-02-2020;1,0175;51,122261;59,137333
05-02-2020;1,045;51,130947;48,98
06-02-2020;1,035;51,252583;49,930668
07-02-2020;0,9525;51,42635;49,871334
10-02-2020;0,985;51,912895;51,418667
11-02-2020;1,005;51,77388;51,625332
12-02-2020;1,0475;51,617485;51,152668
13-02-2020;1,0275;51,79126;53,599998
14-02-2020;1,005;52,086666;53,335335
18-02-2020;1,015;51,721748;57,226665
19-02-2020;1,0375;51,930271;61,161331
20-02-2020;1,035;51,886837;59,960667
21-02-2020;1,01;52,243061;60,066666
24-02-2020;0,925;50,957184;55,585999
25-02-2020;0,89;50,23605;53,327332
26-02-2020;0,8475;50,044899;51,919998
27-02-2020;0,8675;47,725113;45,266666
28-02-2020;0,9;46,473984;44,532665
02-03-2020;0,9575;48,585258;49,574669
03-03-2020;0,9075;48,706898;49,700668
04-03-2020;0,9425;51,191765;49,966667
05-03-2020;0,99;49,297707;48,302666
06-03-2020;0,98;48,011833;46,898666
09-03-2020;0,925;45,057789;40,533333
10-03-2020;1,0575;46,621693;43,021999
11-03-2020;1,035;45,361885;42,282001
12-03-2020;0,995;40,974266;37,369999
13-03-2020;1,1475;42,481773;36,441334
16-03-2020;1,0925;39,668346;29,671333
17-03-2020;1,0575;41,351139;28,68
18-03-2020;0,9425;39,308998;24,081333
19-03-2020;1,0475;36,662106;28,509333
20-03-2020;0,94;33,568218;28,502001
23-03-2020;0,9525;32,919636;28,952667
24-03-2020;1,04;34,576145;33,666668
25-03-2020;1,0425;36,469288;35,950001
26-03-2020;1,1025;38,818184;35,210667
27-03-2020;1,055;37,52103;34,290668
30-03-2020;0,9125;39,440475;33,475334
31-03-2020;0,875;38,783127;34,933334
01-04-2020;0,8125;36,916283;32,104
02-04-2020;0,7125;38,520191;30,298
03-04-2020;0,7;38,41502;32,000668
06-04-2020;0,7725;40,904152;34,416
07-04-2020;0,8175;40,763916;36,363335
08-04-2020;0,8525;41,912071;36,589333
09-04-2020;0,9725;42,946285;38,200001
13-04-2020;1,185;41,132027;43,396667
14-04-2020;1,4875;42,876167;47,326
15-04-2020;1,3175;41,72802;48,655334
16-04-2020;1,2575;41,281029;49,680668
17-04-2020;1,22;42,122417;50,259335
20-04-2020;1,4025;40,781448;49,757332
21-04-2020;1,195;39,773529;45,781334
22-04-2020;1,2225;40,036461;48,807335
23-04-2020;1,175;39,501816;47,042
24-04-2020;1,1925;39,817348;48,343334
27-04-2020;1,455;41,000565;53,25
28-04-2020;1,41;40,965504;51,274666
29-04-2020;1,51;41,298557;53,367332
30-04-2020;1,4325;40,220512;52,125332
01-05-2020;1,5125;39,966347;46,754665
04-05-2020;1,37;39,563171;50,745998
05-05-2020;1,3475;39,79105;51,214001
06-05-2020;1,2325;39,221352;52,172001
07-05-2020;1,2175;39,089882;52,002666
08-05-2020;1,245;40,413338;54,627998
11-05-2020;1,19;39,913757;54,085999
12-05-2020;1,135;39,282703;53,960667
13-05-2020;1,0525;38,511425;52,730667
14-05-2020;1,0325;38,301075;53,555332
15-05-2020;1,055;37,915443;53,278
18-05-2020;1,145;39,414181;54,242001
19-05-2020;1,11;39,0373;53,867332
20-05-2020;1,1075;40,220512;54,370667
21-05-2020;1,11;39,58947;55,173332
22-05-2020;1,045;39,466763;54,458668
26-05-2020;1,105;40,395809;54,591331
27-05-2020;1,1725;40,956734;54,681999
28-05-2020;1,0825;41,272259;53,720669
29-05-2020;1,015;40,912918;55,666668
01-06-2020;1,0325;41,184612;59,873333
02-06-2020;1,045;41,105736;58,770668
03-06-2020;1,11;41,982193;58,863998
04-06-2020;1,1175;41,99971;57,625332
05-06-2020;1,035;43,025166;59,043999
08-06-2020;1,2525;43,691269;63,327999
09-06-2020;1,24;42,946285;62,711334
10-06-2020;1,2675;42,613232;68,33667
11-06-2020;1,0925;39,913757;64,856003
12-06-2020;1,18;40,32943;62,352001
15-06-2020;1,1725;40,948524;66,059998
16-06-2020;1,16;41,364193;65,475334
17-06-2020;1,19;41,196167;66,119331
18-06-2020;1,2375;41,558773;66,930664
19-06-2020;1,22;40,700882;66,726669
22-06-2020;1,2175;40,453251;66,288002
23-06-2020;1,2075;40,364807;66,785332
24-06-2020;1,1025;39,489231;64,056664
25-06-2020;1,115;39,73687;65,732002
26-06-2020;1,0875;38,534065;63,982666
29-06-2020;1,095;39,232754;67,290001
30-06-2020;1,085;39,515766;71,987335
01-07-2020;1,11;39,639587;74,641998
02-07-2020;1,0725;39,692654;80,577332
06-07-2020;1,06;40,002197;91,438667
07-07-2020;1,0225;39,984512;92,657333
08-07-2020;1,065;39,860687;91,05867
09-07-2020;1,0525;38,834766;92,952003
10-07-2020;1,085;39,931446;102,976669
13-07-2020;1,065;40,01989;99,804001
14-07-2020;1,02;40,568233;101,120003
15-07-2020;1,0475;41,036964;103,067329
16-07-2020;1,0425;40,815861;100,042664
17-07-2020;0,99;41,408417;100,056
20-07-2020;0,9625;40,789326;109,533333
21-07-2020;1,0025;41,744507;104,557335
22-07-2020;1,0275;42,87656;106,155334
23-07-2020;1,0275;42,699673;100,87133
24-07-2020;1,0075;42,885395;94,466667
27-07-2020;1,0025;42,87656;102,639999
28-07-2020;0,985;42,611229;98,432671
29-07-2020;1,015;42,469727;99,940666
30-07-2020;1,025;42,177864;99,166
31-07-2020;1,0025;41,779877;95,384003
03-08-2020;1,0375;40,948524;99
04-08-2020;1,1075;41,293453;99,133331
05-08-2020;1,1575;41,762188;99,001335
06-08-2020;1,1075;41,99213;99,305336
07-08-2020;1,04;42,275154;96,847336
10-08-2020;1,0825;42,204407;94,571335
11-08-2020;1,0875;42,390129;91,625999
12-08-2020;1,13;42,832336;103,650665
13-08-2020;1,16;42,788113;108,066666
14-08-2020;1,1875;42,850021;110,047333
17-08-2020;1,1575;42,637756;122,375999
18-08-2020;1,2025;42,82349;125,806
19-08-2020;1,18;41,894855;125,235336
20-08-2020;1,1525;41,877163;133,455338
21-08-2020;1,2575;41,815254;136,665329
24-08-2020;1,2175;42,425507;134,279999
25-08-2020;1,245;42,372433;134,889328
26-08-2020;1,2775;42,593544;143,544662
27-08-2020;1,3125;42,655441;149,25
28-08-2020;1,3475;44,070522;147,559998
31-08-2020;1,67;43,805183;166,106674
01-09-2020;1,9125;43,442581;158,350006
02-09-2020;1,9275;45,273327;149,123337
03-09-2020;1,955;44,64539;135,666672
04-09-2020;1,9125;45,140663;139,440002
08-09-2020;1,925;44,05283;110,07
09-09-2020;1,8375;44,388901;122,09333
10-09-2020;1,5575;44,220867;123,779999
11-09-2020;1,5225;45,158356;124,239998
14-09-2020;1,7275;45,211849;139,873337
15-09-2020;1,7725;45,51498;149,919998
16-09-2020;2,17;45,283169;147,253326
17-09-2020;2,3;45,069191;141,143326
18-09-2020;2,3675;44,980034;147,383331
21-09-2020;2,1875;43,76749;149,796661
22-09-2020;2,64;44,275692;141,410004
23-09-2020;2,51;42,982903;126,786667
24-09-2020;2,285;43,419777;129,263336
25-09-2020;2,505;43,437607;135,779999
28-09-2020;2,5225;43,936886;140,399994
29-09-2020;2,5875;43,615921;139,690002
30-09-2020;2,55;44,017132;143,003326
01-10-2020;2,4425;43,847733;149,386673
02-10-2020;2,3475;44,008217;138,363327
05-10-2020;2,365;44,026054;141,893326
06-10-2020;2,2825;43,633759;137,993332
07-10-2020;2,34;44,186535;141,766663
08-10-2020;3,3725;44,988949;141,973328
09-10-2020;3,005;45,301014;144,666672
12-10-2020;2,95;45,550648;147,433334
13-10-2020;2,97;44,774975;148,883331
14-10-2020;3,0625;44,685806;153,766663
15-10-2020;3,4575;44,569912;149,626663
16-10-2020;3,3275;44,605572;146,556671
19-10-2020;3,4775;44,240025;143,610001
20-10-2020;3,465;44,801716;140,646667
21-10-2020;3,525;44,569912;140,880005
